word,sw,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,word_lower
background,background,'bækgraund,"n. a person's social heritage: previous experience or training
n. the part of a scene (or picture) that lies behind objects in the foreground
n. information that is essential to understanding a situation or problem
n. extraneous signals that can be confused with the phenomenon to be observed or measured","n. 背景, 背景资料
[计] 背景, 后台",n:100,3,1,zk gk cet4 ky toefl ielts,1369,1402,background
bad,bad,bæd,"n. that which is below standard or expectations as of ethics or decency
a. having undesirable or negative qualities
s. very intense
s. feeling physical discomfort or pain (`tough' is occasionally used colloquially for `bad')","a. 坏的
n. 坏
adv. 坏地",r:3/j:96/n:1,5,1,zk gk,349,282,bad
bag,bag,bæg,"n. a flexible container with a single opening
n. the quantity of game taken in a particular period (usually by one person)
n. a container used for carrying money and small personal items or accessories (especially by women)
n. the quantity that a bag will hold","n. 袋子, 袋状物
vt. 使膨大, 装袋, 猎获",v:3/n:97,4,1,zk gk,1292,1008,bag
ball,ball,bɒ:l,"n. round object that is hit or thrown or kicked in games
n. an object with a spherical shape
n. the people assembled at a lavish formal dance
n. a spherical object used as a plaything","n. 球, 舞会, 球状物
v. 捏成球形",v:1/n:99,4,1,zk gk,1121,912,ball
balloon,balloon,bә'lu:n,"n. large tough nonrigid bag filled with gas or heated air
n. small thin inflatable rubber bag with narrow neck
v. ride in a hot-air balloon
v. become inflated","n. 气球
vt. 使成气球状
vi. 膨胀如气球, 激增",v:11/n:89,2,0,zk gk cet4 ky toefl ielts gre,5623,4774,balloon
bamboo,bamboo,bæm'bu:,"n. the hard woody stems of bamboo plants; used in construction and crafts and fishing poles
n. woody tropical grass having hollow woody stems; mature canes used for construction and furniture","n. 竹子
[医] 竹类",n:100,1,0,zk gk cet6 ielts,12165,8248,bamboo
banana,banana,bә'nɑ:nә,"n. any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits
n. elongated crescent-shaped yellow fruit with soft sweet flesh",n. 香蕉,n:100,2,0,zk gk,5663,4677,banana
bank,bank,bæŋk,"n. sloping land (especially the slope beside a body of water)
n. a long ridge or pile
n. an arrangement of similar objects in a row or in tiers
n. a supply or stock held in reserve for future use (especially in emergencies)","n. 银行, 堤, 岸
[医] 库",v:4/n:96,1,1,zk gk ielts,406,663,bank
baseball,baseball,'beisbɒ:l,"n. a ball game played with a bat and ball between two teams of nine players; teams take turns at bat trying to score runs
n. a ball used in playing baseball","n. 棒球
[计] 棒球系统",n:100,3,0,zk gk cet4 cet6 ky ielts,10008,1373,baseball
basic,basic,'beisik,"n. a popular programming language that is relatively easy to learn; an acronym for beginner's all-purpose symbolic instruction code; no longer in general use
n. (usually plural) a necessary commodity for which demand is constant
a. pertaining to or constituting a base or basis
s. reduced to the simplest and most significant form possible without loss of generality","n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言",j:100,4,1,zk gk cet4 ky toefl ielts,911,1144,basic
basket,basket,'bɑ:skit,"n. a container that is usually woven and has handles
n. the quantity contained in a basket
n. horizontal circular metal hoop supporting a net through which players try to throw the basketball
n. a score in basketball made by throwing the ball through the hoop","n. 篮, 篮子
vt. 装入篮",n:100,2,0,zk gk,3828,3255,basket
basketball,basketball,'bɑ:skitbɒ:l,"n. a game played on a court by two opposing teams of 5 players; points are scored by throwing the ball through an elevated horizontal hoop
n. an inflated ball used in playing basketball",n. 篮球,n:100,2,0,zk gk,16051,1799,basketball
